event_date,purchasing_users_count,avg_duration_minutes,median_duration_minutes,p25_duration_minutes,p75_duration_minutes,p90_duration_minutes,min_duration_minutes,max_duration_minutes
2020-11-01,13,27.88,17.1,12.07,20.73,70.9,4.07,122.68
2020-11-02,39,88.7,12.97,10.17,111.32,354.43,3.82,606.55
2020-11-03,46,101.66,17.88,10.93,49.47,157.37,2.87,1177.43
2020-11-04,30,100.42,22.7,9.72,97.6,190.2,6.47,1185.03
2020-11-05,26,41.77,18.38,11.67,29.4,114.17,3.55,345.73
2020-11-06,48,79.9,24.15,12.05,47.45,117.62,2.65,1319.03
2020-11-07,28,26.26,19.63,11.45,29.3,75.47,1.63,113.35
2020-11-08,31,69.26,16.48,8.15,29,53.68,2.67,1120.32
2020-11-09,40,76,12.43,6.52,33.9,152.13,3.53,869.07
2020-11-10,64,102.88,18,8.42,42.82,297.13,2.3,1242.38
2020-11-11,63,101.79,15.88,8.52,52.75,295.57,0,1322.83
2020-11-12,51,85.03,16.03,9.72,39.12,66.45,2.3,1091.02
2020-11-13,66,74.49,15.15,8.42,28.47,99.28,2.85,1365.97
2020-11-14,29,103.06,26.92,13.47,50.72,218.45,3.95,1094.68
2020-11-15,21,27.07,13,7.3,25.85,49.68,3.28,195.97
2020-11-16,68,61.29,15.93,8.82,35.08,126.97,1.53,793.28
2020-11-17,85,54.54,13.88,8.1,41.78,141.75,1.88,651.32
2020-11-18,49,71.46,16.72,10.63,36.1,188.58,4.83,1096.47
2020-11-19,44,57.99,15.88,10.62,29.98,148.43,2.53,683.03
2020-11-20,64,75.31,16.82,8.2,34.23,137.62,2.43,1280.92
2020-11-21,35,68.85,23.75,9.18,88.85,219.78,5.45,369.75
2020-11-22,29,70.83,15.9,8.87,40.05,124.67,2.73,1036.18
2020-11-23,62,63.94,18.92,10,51.33,103.78,2.7,908.82
2020-11-24,96,45.95,17.9,9.2,35.67,104.1,1.88,655.08
2020-11-25,84,108.49,22.05,11.6,52.2,315.67,2,1250.7
2020-11-26,54,45.29,18.37,11.52,32,64.37,2.05,874.28
2020-11-27,89,67.83,20.03,10.23,31.8,148.6,2.35,1270.17
2020-11-28,73,54.65,20.52,11.32,40.98,102.7,3.65,1154.6
2020-11-29,48,62.4,19.55,7.43,35.35,126.15,3.05,1075.93
2020-11-30,126,71.83,23.53,11.95,41.92,194.12,2.33,751.58
2020-12-01,98,92.63,26.58,12.2,85.13,337.42,1.78,998.17
2020-12-02,74,106.69,21.72,11.15,84.57,353.2,1.73,1334.33
2020-12-03,86,74.58,15.8,6.25,46.48,190.7,1.92,1227.92
2020-12-04,85,60.24,18.77,8.5,40.32,148.47,2.17,1109.83
2020-12-05,76,73.29,22.55,11.1,53.12,157.38,4.5,1029.18
2020-12-06,40,89.7,18.98,9.13,64.77,179.53,2.27,1191.5
2020-12-07,89,82.72,20.18,9.18,42.72,168.23,1.7,1116.25
2020-12-08,110,80.66,23.68,9.68,55,271.08,1.22,863
2020-12-09,126,66.88,26.35,13.43,63.42,164.98,3.6,1028.42
2020-12-10,126,108.49,19.97,9.98,56.68,398.18,2.63,1271.88
2020-12-11,145,91.19,23.92,10.3,66.17,216.88,2.53,1225.58
2020-12-12,99,55.01,20.25,10.4,36.57,89.65,1.73,1297.58
2020-12-13,62,62.5,18.6,11.57,39.78,119.18,3.25,1030.18
2020-12-14,84,72.99,31.43,14.78,70.38,126.18,3.62,732.9
2020-12-15,115,93.54,25.97,13.23,63.28,240.92,2.1,1289.1
2020-12-16,115,106.44,21.85,10.98,58.85,371.6,3.03,1106.5
2020-12-17,88,71.91,18.67,9.02,44.53,215.37,2.02,794.85
2020-12-18,79,86.67,19.82,8.72,45.03,296.87,0.75,973.5
2020-12-19,40,72.66,22.43,10.9,48.48,195.1,2.48,695.58
2020-12-20,19,82.58,12.98,7.12,37.67,79.45,4.1,1170.2
2020-12-21,48,76.34,17.65,8.62,46.82,216.48,2.8,1193.67
2020-12-22,56,73.35,16.83,9.47,34.9,117.32,2.82,1034.22
2020-12-23,53,58.55,21.62,10.17,50.78,172.82,4.28,714.32
2020-12-24,22,94.56,20.93,12.62,50.58,242.35,2.43,884.6
2020-12-25,17,78.22,14.52,11.62,19.35,449.4,6.72,667.55
2020-12-26,16,48.04,27.15,6.8,52.95,173.48,4.8,177.98
2020-12-27,20,25.96,11.42,5.98,33.9,56.92,1.95,130.85
2020-12-28,32,44.77,20,11.85,35.68,86.8,1.65,390.88
2020-12-29,22,18.79,10.52,7.38,20.18,28.47,2.57,98.93
2020-12-30,21,58.5,18.07,12.53,29.97,213.7,4.6,310.6
2020-12-31,22,26.96,10.55,5.77,37.07,65.35,3.45,137.75
2021-01-01,12,25.28,26.83,11.72,31.63,45.08,2.43,47.65
2021-01-02,14,99.88,18.35,8.97,50.08,64.2,4.18,1087.8
2021-01-03,14,67.53,14.83,7.45,19.97,77.27,2.8,726
2021-01-04,16,55.19,14.1,10.67,26.83,99.18,5.1,562.1
2021-01-05,27,31.1,14.43,8.13,30.2,75.82,3.95,196.33
2021-01-06,28,47.24,13.78,7.47,43.95,111.18,0.58,412.02
2021-01-07,25,59.48,14.35,7.6,42.2,148.42,2.97,471.75
2021-01-08,34,65.55,16.52,9.47,36.17,254.13,4.83,543.95
2021-01-09,18,33.85,14.35,9.45,29.75,63.52,5.83,253.53
2021-01-10,14,34.32,38.98,11.8,54.1,67.02,4.92,71.2
2021-01-11,26,66.36,12.48,5.42,20.63,336.63,0.33,601.8
2021-01-12,43,71.15,19.22,9.28,35.83,215.47,2.82,696.68
2021-01-13,34,41.3,14.02,8.53,39.53,63.9,2.45,384.8
2021-01-14,47,55.36,26.75,9.13,66.47,127.33,3.47,603
2021-01-15,38,65.49,18.3,9.7,50.35,167.22,2.9,818.6
2021-01-16,23,27.71,17.75,12.48,31.33,63.27,3.48,87.82
2021-01-17,14,69.22,11.42,6.92,15.43,36.87,3.48,805.88
2021-01-18,18,48.62,14.57,8.8,25.82,165.62,2.18,428.55
2021-01-19,47,115.28,24.87,12.18,138.78,302.3,3.08,1406.18
2021-01-20,94,159.63,28.8,12.72,118.9,390.57,1.57,1415.18
2021-01-21,49,76.47,25.15,11,52.38,163.87,3.65,1002.05
2021-01-22,86,105.84,17.27,10.33,105.57,240.75,2.15,1352.85
2021-01-23,42,82.67,18.95,9.83,73.98,246.05,1.48,697.55
2021-01-24,35,97.29,14.65,6.98,44.53,294.37,2.33,1146.87
2021-01-25,58,50.7,15.72,9.43,40.47,106.33,2.15,1010.48
2021-01-26,51,55.73,15.92,8.95,34.08,158.35,0,522.9
2021-01-27,49,46.15,12.58,4.77,36.58,142.75,2.1,445.02
2021-01-28,56,45.31,12.43,8.05,35.92,96.48,3.2,628.65
2021-01-29,51,65.75,17.77,7.43,45,156.55,3.03,1049.93
2021-01-30,28,17.7,15.78,7.8,25.78,37.55,3.03,44.77
2021-01-31,17,19.27,15.48,6.78,30.5,43.88,3.28,44.93
