event_date,purchasing_users_count,avg_duration_minutes,median_duration_minutes,p25_duration_minutes,p75_duration_minutes,p90_duration_minutes,min_duration_minutes,max_duration_minutes
2020-12-11,145,91.19,23.92,10.3,66.17,216.88,2.53,1225.58
2020-12-10,126,108.49,19.97,9.98,56.68,398.18,2.63,1271.88
2020-12-09,126,66.88,26.35,13.43,63.42,164.98,3.6,1028.42
2020-11-30,126,71.83,23.53,11.95,41.92,194.12,2.33,751.58
2020-12-16,115,106.44,21.85,10.98,58.85,371.6,3.03,1106.5
2020-12-15,115,93.54,25.97,13.23,63.28,240.92,2.1,1289.1
2020-12-08,110,80.66,23.68,9.68,55.0,271.08,1.22,863.0
2020-12-12,99,55.01,20.25,10.4,36.57,89.65,1.73,1297.58
2020-12-01,98,92.63,26.58,12.2,85.13,337.42,1.78,998.17
2020-11-24,96,45.95,17.9,9.2,35.67,104.1,1.88,655.08
