event_date,user_pseudo_id,country,device_category,first_arrival_time,first_purchase_time,duration_to_purchase_minutes
2020-11-01,38686208.2125603,Turkey,desktop,2020-11-01 10:15:53.139814 UTC,2020-11-01 12:18:34.445270 UTC,122.68
2020-11-01,7905299837.69499,United States,desktop,2020-11-01 19:35:41.085903 UTC,2020-11-01 20:46:35.431620 UTC,70.9
2020-11-01,70761379.0400304,Spain,desktop,2020-11-01 17:01:56.063180 UTC,2020-11-01 17:38:27.368761 UTC,36.52
2020-11-01,6828468.16952035,Belgium,mobile,2020-11-01 09:32:46.249289 UTC,2020-11-01 09:53:30.531712 UTC,20.73
2020-11-01,29640692.9507522,Peru,mobile,2020-11-01 14:53:48.392090 UTC,2020-11-01 15:12:13.156551 UTC,18.4
2020-11-01,36638696.4029295,United States,mobile,2020-11-01 00:09:55.117321 UTC,2020-11-01 00:27:14.469608 UTC,17.32
2020-11-01,68689240.0741071,United States,desktop,2020-11-01 17:24:45.937856 UTC,2020-11-01 17:41:52.249748 UTC,17.1
2020-11-01,3297046.65095534,United States,desktop,2020-11-01 06:03:35.619457 UTC,2020-11-01 06:17:40.454067 UTC,14.07
2020-11-01,2422026.01657226,Sweden,desktop,2020-11-01 01:31:23.309105 UTC,2020-11-01 01:44:44.942033 UTC,13.35
2020-11-01,33027284.2974994,United Kingdom,desktop,2020-11-01 10:54:50.461638 UTC,2020-11-01 11:06:54.747533 UTC,12.07
2020-11-01,1494018.51831337,Canada,desktop,2020-11-01 04:01:10.458595 UTC,2020-11-01 04:11:11.477055 UTC,10.02
2020-11-01,40765276.6033983,United States,desktop,2020-11-01 23:19:02.311146 UTC,2020-11-01 23:24:17.674829 UTC,5.25
2020-11-01,4075022.32276334,United States,mobile,2020-11-01 13:19:57.820893 UTC,2020-11-01 13:24:02.747646 UTC,4.07
2020-11-02,1525779.27809946,Lebanon,mobile,2020-11-02 05:37:32.729073 UTC,2020-11-02 15:44:05.812724 UTC,606.55
2020-11-02,4941025.10376897,United States,desktop,2020-11-02 06:32:05.382174 UTC,2020-11-02 15:22:00.739599 UTC,529.92
2020-11-02,5649103.12358251,China,mobile,2020-11-02 09:47:59.717317 UTC,2020-11-02 16:26:57.658714 UTC,398.95
2020-11-02,40419717.4317588,Brazil,mobile,2020-11-02 06:16:15.564283 UTC,2020-11-02 12:10:41.790395 UTC,354.43
2020-11-02,31613618.4993209,United Kingdom,desktop,2020-11-02 14:39:22.051192 UTC,2020-11-02 19:38:07.763925 UTC,298.75
2020-11-02,1482564.39877014,United States,desktop,2020-11-02 10:03:30.364867 UTC,2020-11-02 14:23:54.026194 UTC,260.38
2020-11-02,87326376.7596593,United States,desktop,2020-11-02 13:37:48.213025 UTC,2020-11-02 16:38:27.433102 UTC,180.65
2020-11-02,39443462.9852246,United States,mobile,2020-11-02 09:44:44.293066 UTC,2020-11-02 12:24:03.543886 UTC,159.32
2020-11-02,51248671.8133898,Canada,desktop,2020-11-02 15:44:52.935751 UTC,2020-11-02 17:39:12.669361 UTC,114.32
2020-11-02,10295267.8818269,United States,desktop,2020-11-02 06:47:02.511075 UTC,2020-11-02 08:38:22.297885 UTC,111.32
2020-11-02,1534773.31014968,Canada,mobile,2020-11-02 22:22:20.619908 UTC,2020-11-02 23:30:13.315107 UTC,67.87
2020-11-02,77977792.0191527,United States,desktop,2020-11-02 02:28:28.357104 UTC,2020-11-02 03:12:12.569546 UTC,43.73
2020-11-02,69986145.5399919,Japan,desktop,2020-11-02 22:54:30.863143 UTC,2020-11-02 23:28:56.149584 UTC,34.42
2020-11-02,41280451.5966697,India,tablet,2020-11-02 05:52:14.422296 UTC,2020-11-02 06:19:59.716977 UTC,27.75
2020-11-02,43435921.9728597,United States,mobile,2020-11-02 10:25:52.213070 UTC,2020-11-02 10:44:41.826941 UTC,18.82
2020-11-02,8620049.65671044,Malaysia,desktop,2020-11-02 10:21:41.110324 UTC,2020-11-02 10:38:36.646939 UTC,16.92
2020-11-02,7853261.62424396,United Kingdom,mobile,2020-11-02 20:29:59.371400 UTC,2020-11-02 20:46:02.143375 UTC,16.03
2020-11-02,91518233.2791103,Canada,mobile,2020-11-02 03:30:58.665040 UTC,2020-11-02 03:46:45.206601 UTC,15.77
2020-11-02,7644155580.39156,Canada,mobile,2020-11-02 21:39:22.313373 UTC,2020-11-02 21:52:41.322587 UTC,13.32
2020-11-02,1441375.73539186,United States,desktop,2020-11-02 20:39:38.410854 UTC,2020-11-02 20:52:37.343393 UTC,12.97
2020-11-02,5448801.12282488,United States,mobile,2020-11-02 04:35:28.055147 UTC,2020-11-02 04:47:49.138329 UTC,12.35
2020-11-02,5299488.052249,Italy,desktop,2020-11-02 11:41:24.558019 UTC,2020-11-02 11:53:34.351071 UTC,12.15
2020-11-02,5906845.81263438,United States,desktop,2020-11-02 19:29:36.750931 UTC,2020-11-02 19:41:27.112812 UTC,11.83
2020-11-02,14297513.2705476,India,desktop,2020-11-02 09:41:14.922708 UTC,2020-11-02 09:52:58.296899 UTC,11.72
2020-11-02,6959133.07965294,United States,mobile,2020-11-02 11:53:43.414695 UTC,2020-11-02 12:05:14.738525 UTC,11.52
2020-11-02,76792644.635173,India,desktop,2020-11-02 22:15:35.777345 UTC,2020-11-02 22:26:48.682981 UTC,11.2
2020-11-02,40418512.3278126,United States,mobile,2020-11-02 05:06:10.039263 UTC,2020-11-02 05:17:22.995956 UTC,11.2
2020-11-02,3051995.70942242,India,desktop,2020-11-02 11:15:42.146457 UTC,2020-11-02 11:26:49.654141 UTC,11.12
2020-11-02,5963534.4700679,United States,desktop,2020-11-02 12:47:22.474907 UTC,2020-11-02 12:58:25.354898 UTC,11.03
2020-11-02,7186879.84461393,India,desktop,2020-11-02 11:28:51.396720 UTC,2020-11-02 11:39:02.007142 UTC,10.17
2020-11-02,88155637.307618,United States,desktop,2020-11-02 19:02:16.564573 UTC,2020-11-02 19:11:58.034354 UTC,9.68
2020-11-02,82592841.5041495,United States,mobile,2020-11-02 11:34:02.587647 UTC,2020-11-02 11:43:43.587109 UTC,9.67
2020-11-02,21503964.5896255,Bangladesh,desktop,2020-11-02 11:50:10.802655 UTC,2020-11-02 11:59:30.457052 UTC,9.32
2020-11-02,68765362.459575,India,desktop,2020-11-02 19:32:01.187138 UTC,2020-11-02 19:39:19.031304 UTC,7.28
2020-11-02,62738775.4729752,India,mobile,2020-11-02 18:47:48.455840 UTC,2020-11-02 18:54:52.129079 UTC,7.05
2020-11-02,7128823.17767407,Portugal,desktop,2020-11-02 17:57:37.338889 UTC,2020-11-02 18:03:46.063788 UTC,6.13
2020-11-02,83008565.9882087,Canada,desktop,2020-11-02 22:19:01.088108 UTC,2020-11-02 22:24:36.596415 UTC,5.58
2020-11-02,3002649.26986253,United States,mobile,2020-11-02 15:55:46.115330 UTC,2020-11-02 16:00:09.292971 UTC,4.38
2020-11-02,89492716.5386437,Vietnam,desktop,2020-11-02 22:03:26.469606 UTC,2020-11-02 22:07:16.147408 UTC,3.82
2020-11-03,56494469.6974953,Greece,mobile,2020-11-03 01:58:56.880157 UTC,2020-11-03 21:36:23.730026 UTC,1177.43
2020-11-03,83151527.5488193,Australia,desktop,2020-11-03 01:36:56.320758 UTC,2020-11-03 16:24:42.846711 UTC,887.77
2020-11-03,50924450.1711753,Saudi Arabia,desktop,2020-11-03 10:58:42.257006 UTC,2020-11-03 22:29:17.328429 UTC,690.58
2020-11-03,1482564.39877014,United States,desktop,2020-11-03 07:38:35.131530 UTC,2020-11-03 16:17:13.782882 UTC,518.63
2020-11-03,55484597.5078975,United States,desktop,2020-11-03 13:32:57.894983 UTC,2020-11-03 16:10:20.778984 UTC,157.37
2020-11-03,8606659.75227523,United States,desktop,2020-11-03 03:54:04.597610 UTC,2020-11-03 06:13:23.052698 UTC,139.3
2020-11-03,9130640.2139762,United States,desktop,2020-11-03 03:05:43.433266 UTC,2020-11-03 05:10:01.182820 UTC,124.28
2020-11-03,81324083.4482184,Morocco,mobile,2020-11-03 16:37:36.952853 UTC,2020-11-03 18:25:25.274419 UTC,107.8
2020-11-03,65608889.8290462,United States,desktop,2020-11-03 13:24:25.276848 UTC,2020-11-03 14:59:13.327978 UTC,94.8
2020-11-03,37070311.8314414,United States,mobile,2020-11-03 14:01:30.072233 UTC,2020-11-03 15:25:51.588292 UTC,84.35
2020-11-03,44771210.2314933,United States,desktop,2020-11-03 05:52:04.341893 UTC,2020-11-03 06:48:23.216301 UTC,56.3
2020-11-03,48021850.9548849,United States,mobile,2020-11-03 19:44:51.020597 UTC,2020-11-03 20:34:19.083021 UTC,49.47
2020-11-03,26772644.3702713,United States,desktop,2020-11-03 13:56:11.963307 UTC,2020-11-03 14:45:38.766325 UTC,49.43
2020-11-03,53887436.1726083,United States,desktop,2020-11-03 09:56:01.084203 UTC,2020-11-03 10:39:38.697744 UTC,43.62
2020-11-03,35052066.2813337,Canada,mobile,2020-11-03 12:14:41.059488 UTC,2020-11-03 12:56:12.582416 UTC,41.52
2020-11-03,4513859.38442678,United States,desktop,2020-11-03 17:46:37.110136 UTC,2020-11-03 18:27:29.619688 UTC,40.87
2020-11-03,16187714.7521852,Germany,mobile,2020-11-03 04:35:23.802996 UTC,2020-11-03 05:05:52.503799 UTC,30.47
2020-11-03,5969629.07380223,United States,desktop,2020-11-03 04:06:55.257963 UTC,2020-11-03 04:36:13.814149 UTC,29.3
2020-11-03,11258187.3799854,United States,desktop,2020-11-03 00:51:13.851270 UTC,2020-11-03 01:14:52.829809 UTC,23.63
2020-11-03,33274361.4713446,India,desktop,2020-11-03 17:53:37.199701 UTC,2020-11-03 18:16:43.103314 UTC,23.08
2020-11-03,484269874.96398,United States,desktop,2020-11-03 04:41:18.427216 UTC,2020-11-03 05:03:35.200231 UTC,22.27
2020-11-03,3047630756.35159,United States,desktop,2020-11-03 19:21:34.642364 UTC,2020-11-03 19:39:58.902374 UTC,18.4
2020-11-03,53709875.3635794,United States,mobile,2020-11-03 07:11:58.239049 UTC,2020-11-03 07:30:14.356292 UTC,18.27
2020-11-03,19388075.6152731,United States,desktop,2020-11-03 14:08:29.476333 UTC,2020-11-03 14:26:22.603527 UTC,17.88
2020-11-03,8760245.30463992,United States,desktop,2020-11-03 14:46:01.774961 UTC,2020-11-03 15:02:18.037550 UTC,16.27
2020-11-03,51622008.5857082,Ecuador,desktop,2020-11-03 02:58:10.368405 UTC,2020-11-03 03:13:24.410157 UTC,15.23
2020-11-03,45473624.1023516,United States,mobile,2020-11-03 03:33:41.890011 UTC,2020-11-03 03:48:36.836579 UTC,14.9
2020-11-03,3662209.57129514,France,mobile,2020-11-03 20:33:11.412073 UTC,2020-11-03 20:47:56.848488 UTC,14.75
2020-11-03,6674901.05696621,Russia,desktop,2020-11-03 03:53:27.311193 UTC,2020-11-03 04:07:51.879494 UTC,14.4
2020-11-03,7644052.72325231,Hong Kong,mobile,2020-11-03 13:51:33.537241 UTC,2020-11-03 14:05:28.914229 UTC,13.92
2020-11-03,7576757.52130687,United States,desktop,2020-11-03 03:36:48.190340 UTC,2020-11-03 03:50:14.181214 UTC,13.42
2020-11-03,2798155.81363593,Austria,desktop,2020-11-03 22:18:02.973045 UTC,2020-11-03 22:30:41.849882 UTC,12.63
2020-11-03,25060616.2829422,Canada,desktop,2020-11-03 05:57:01.549072 UTC,2020-11-03 06:08:22.523304 UTC,11.33
2020-11-03,1014825.02002892,United States,mobile,2020-11-03 07:44:47.992214 UTC,2020-11-03 07:56:06.881926 UTC,11.3
2020-11-03,2276343.35182234,Turkey,desktop,2020-11-03 08:08:17.079591 UTC,2020-11-03 08:19:14.021947 UTC,10.93
2020-11-03,2817763.01280467,Vietnam,desktop,2020-11-03 03:54:01.501623 UTC,2020-11-03 04:04:56.181316 UTC,10.9
2020-11-03,43166184.7921844,United States,desktop,2020-11-03 02:08:22.637180 UTC,2020-11-03 02:18:54.518846 UTC,10.52
2020-11-03,52110755.0377972,(not set),desktop,2020-11-03 01:12:32.437375 UTC,2020-11-03 01:22:03.274905 UTC,9.5
2020-11-03,1257911.63844849,United States,desktop,2020-11-03 15:56:36.506398 UTC,2020-11-03 16:05:12.590409 UTC,8.6
2020-11-03,7757973.77838452,India,mobile,2020-11-03 23:00:04.244907 UTC,2020-11-03 23:07:54.038296 UTC,7.82
2020-11-03,3855098781.88715,India,mobile,2020-11-03 05:21:34.061535 UTC,2020-11-03 05:29:15.785982 UTC,7.68
2020-11-03,81444980.8487304,United States,mobile,2020-11-03 00:05:13.289457 UTC,2020-11-03 00:12:35.532032 UTC,7.37
2020-11-03,16462431.2283594,Colombia,mobile,2020-11-03 22:30:30.616070 UTC,2020-11-03 22:37:30.779253 UTC,7.0
2020-11-03,70711300.6204864,India,mobile,2020-11-03 05:55:51.651390 UTC,2020-11-03 06:01:07.654391 UTC,5.27
2020-11-03,30195839.9356669,United States,mobile,2020-11-03 16:00:11.987709 UTC,2020-11-03 16:03:04.052893 UTC,2.87
2020-11-03,4050591.47435854,United States,mobile,2020-11-03 05:22:18.725464 UTC,2020-11-03 05:25:11.568975 UTC,2.87
2020-11-04,1697570.37890447,United States,desktop,2020-11-04 01:50:28.913446 UTC,2020-11-04 21:35:30.916084 UTC,1185.03
2020-11-04,61145313.5871571,Israel,mobile,2020-11-04 01:21:21.549180 UTC,2020-11-04 06:47:38.428213 UTC,326.27
2020-11-04,24561891.8214764,India,mobile,2020-11-04 08:08:46.251418 UTC,2020-11-04 12:23:27.758327 UTC,254.68
2020-11-04,64111634.0525729,United States,mobile,2020-11-04 16:29:03.756497 UTC,2020-11-04 19:39:16.661744 UTC,190.2
2020-11-04,69008080.7918925,United States,desktop,2020-11-04 09:23:53.421711 UTC,2020-11-04 12:10:06.036110 UTC,166.2
2020-11-04,5690429.39826697,Vietnam,desktop,2020-11-04 17:12:08.554592 UTC,2020-11-04 19:52:48.821457 UTC,160.67
2020-11-04,8690699.36692564,(not set),mobile,2020-11-04 04:53:17.425781 UTC,2020-11-04 07:13:58.255797 UTC,140.67
2020-11-04,45333280.3272952,Guatemala,desktop,2020-11-04 07:20:18.233992 UTC,2020-11-04 08:57:54.992487 UTC,97.6
2020-11-04,79305784.7623717,United Kingdom,desktop,2020-11-04 10:43:03.058609 UTC,2020-11-04 11:42:52.054372 UTC,59.8
2020-11-04,12801942.0744878,United States,mobile,2020-11-04 22:28:57.429630 UTC,2020-11-04 23:28:18.443703 UTC,59.35
2020-11-04,53311820.2795082,United States,desktop,2020-11-04 20:17:25.659677 UTC,2020-11-04 20:59:17.993776 UTC,41.87
2020-11-04,7445408530.76458,Canada,tablet,2020-11-04 00:04:41.332290 UTC,2020-11-04 00:40:40.017035 UTC,35.97
2020-11-04,4651836.95254477,Singapore,desktop,2020-11-04 00:00:13.532687 UTC,2020-11-04 00:35:54.002826 UTC,35.67
2020-11-04,1482564.39877014,United States,desktop,2020-11-04 13:43:58.480667 UTC,2020-11-04 14:16:35.751703 UTC,32.62
2020-11-04,91694984.1982284,Canada,mobile,2020-11-04 19:25:03.487907 UTC,2020-11-04 19:53:57.150836 UTC,28.88
2020-11-04,71770739.4629236,Malaysia,desktop,2020-11-04 23:26:47.442308 UTC,2020-11-04 23:49:29.716135 UTC,22.7
2020-11-04,7446712.27268722,United States,desktop,2020-11-04 13:03:43.938116 UTC,2020-11-04 13:26:14.615819 UTC,22.5
2020-11-04,3641698.18542308,Ireland,desktop,2020-11-04 02:12:11.773782 UTC,2020-11-04 02:32:59.224702 UTC,20.78
2020-11-04,54064006.4612083,United States,desktop,2020-11-04 02:30:07.740355 UTC,2020-11-04 02:49:54.058542 UTC,19.77
2020-11-04,69465148.8614142,Canada,mobile,2020-11-04 08:00:00.734028 UTC,2020-11-04 08:19:12.233357 UTC,19.18
2020-11-04,5237397.70649409,India,desktop,2020-11-04 04:30:10.798840 UTC,2020-11-04 04:45:07.021009 UTC,14.93
2020-11-04,3353526.89915293,Canada,desktop,2020-11-04 17:21:22.312697 UTC,2020-11-04 17:33:18.245641 UTC,11.92
