country,purchasing_users,median_minutes,avg_minutes,p90_minutes
United States,2095,18.6,70.31,165.24
India,446,19.21,68.24,174.64
Canada,386,20.51,59.65,147.35
United Kingdom,148,16.22,78.62,181.59
France,101,20.18,104.36,269.53
Spain,98,18.8,94.67,168.3
Germany,80,15.1,56.74,128.96
China,79,23.83,103.29,375.97
Taiwan,79,18.87,84.44,244.78
Japan,76,17.83,54.28,198.0
Netherlands,61,24.22,87.4,115.4
Brazil,55,25.17,67.97,195.62
Italy,54,20.92,64.14,120.09
Singapore,54,14.15,61.42,112.1
Turkey,54,25.4,103.41,168.09
South Korea,52,23.65,74.15,111.94
Poland,50,13.8,51.2,112.71
Australia,46,20.62,141.64,532.52
Mexico,41,19.63,55.2,108.0
Russia,40,27.42,113.07,194.68
(not set),34,18.62,95.28,258.73
Hong Kong,32,21.66,75.46,288.56
Malaysia,31,17.87,65.98,53.78
Ireland,31,20.8,75.58,149.17
Colombia,30,20.79,97.64,179.67
Indonesia,26,18.36,85.56,150.13
Thailand,26,18.0,25.31,54.5
Peru,24,19.44,87.17,214.76
Philippines,24,14.11,43.14,70.16
Sweden,23,19.82,63.13,182.78
Greece,21,21.67,147.68,215.37
Vietnam,21,18.93,127.5,160.67
Austria,20,21.95,71.36,143.51
Switzerland,19,21.17,183.37,934.52
Pakistan,19,15.22,64.27,181.37
Portugal,19,17.42,134.26,461.63
Israel,18,32.28,132.54,383.4
Czechia,15,20.45,85.28,224.78
Belgium,15,20.18,101.43,255.77
Denmark,14,17.54,32.48,68.63
United Arab Emirates,12,13.44,32.73,114.16
Ukraine,10,17.58,169.74,325.26
Finland,10,16.37,143.0,209.7
Argentina,10,26.44,35.28,64.32
Egypt,9,15.23,183.54,414.87
Sri Lanka,9,27.9,85.17,225.65
Saudi Arabia,9,54.18,204.97,627.88
Chile,8,23.2,74.94,175.24
Bangladesh,8,30.38,98.95,225.82
Nigeria,7,32.88,76.46,181.1
Slovenia,7,10.28,48.65,132.23
Romania,6,27.24,72.01,178.73
Slovakia,6,9.94,90.55,259.12
Uruguay,6,33.21,68.08,159.16
Bulgaria,5,26.75,31.37,58.72
Ecuador,5,25.78,84.57,206.33
Morocco,5,30.32,254.61,709.02
Dominican Republic,5,42.67,50.88,86.15
New Zealand,5,32.52,34.94,55.16
Puerto Rico,4,41.64,48.3,96.0
Guatemala,4,42.15,46.86,91.81
Hungary,4,26.78,24.65,40.0
Algeria,4,28.12,28.7,35.98
Serbia,4,46.84,49.11,91.67
Iraq,4,42.29,53.32,94.19
Tunisia,4,139.17,164.74,329.02
Costa Rica,4,9.5,10.12,15.41
Malta,4,27.48,39.36,83.29
Kuwait,4,11.2,40.83,100.32
South Africa,4,25.18,70.94,156.92
Georgia,4,9.62,17.09,34.86
North Macedonia,3,27.25,21.72,32.25
Kenya,3,30.62,27.34,32.44
El Salvador,3,80.18,82.27,143.69
Bolivia,2,27.33,27.33,34.97
Norway,2,13.44,13.44,14.1
Palestine,2,126.63,126.63,203.07
Mongolia,2,168.54,168.54,295.07
Croatia,2,10.38,10.38,14.09
Macao,2,117.42,117.42,199.31
Cyprus,2,35.27,35.27,58.47
Lithuania,2,6.52,6.52,7.9
Kazakhstan,2,20.7,20.7,21.84
Lebanon,2,308.69,308.69,546.98
Latvia,2,33.4,33.4,47.54
Qatar,1,5.17,5.17,5.17
Albania,1,46.45,46.45,46.45
Venezuela,1,21.1,21.1,21.1
Honduras,1,179.53,179.53,179.53
Iceland,1,11.82,11.82,11.82
Jordan,1,11.22,11.22,11.22
Armenia,1,1051.48,1051.48,1051.48
Bahrain,1,53.53,53.53,53.53
Bahamas,1,7.95,7.95,7.95
Bosnia & Herzegovina,1,115.45,115.45,115.45
Luxembourg,1,158.35,158.35,158.35
Belarus,1,94.88,94.88,94.88
Panama,1,257.33,257.33,257.33
Paraguay,1,29.78,29.78,29.78
Cambodia,1,5.05,5.05,5.05
Kosovo,1,15.77,15.77,15.77
