event_date,purchasing_users_count,avg_duration_minutes,median_duration_minutes,p25_duration_minutes,p75_duration_minutes,p90_duration_minutes,min_duration_minutes,max_duration_minutes
2021-01-10,14,34.32,38.98,11.8,54.1,67.02,4.92,71.2
2020-12-14,84,72.99,31.43,14.78,70.38,126.18,3.62,732.9
2021-01-20,94,159.63,28.8,12.72,118.9,390.57,1.57,1415.18
2020-12-26,16,48.04,27.15,6.8,52.95,173.48,4.8,177.98
2020-11-14,29,103.06,26.92,13.47,50.72,218.45,3.95,1094.68
2021-01-01,12,25.28,26.83,11.72,31.63,45.08,2.43,47.65
2021-01-14,47,55.36,26.75,9.13,66.47,127.33,3.47,603.0
2020-12-01,98,92.63,26.58,12.2,85.13,337.42,1.78,998.17
2020-12-09,126,66.88,26.35,13.43,63.42,164.98,3.6,1028.42
2020-12-15,115,93.54,25.97,13.23,63.28,240.92,2.1,1289.1
