cohort_week,week_index,active_users,cohort_size,retention_rate,retention_percent
2020-10-26,0,2365,2365,1.0,100.0
2020-10-26,1,2365,2365,1.0,100.0
2020-10-26,2,2184,2365,0.923467230443974,92.3
2020-10-26,3,2133,2365,0.901902748414376,90.2
2020-10-26,4,2105,2365,0.890063424947145,89.0
2020-10-26,5,2088,2365,0.882875264270613,88.3
2020-10-26,6,2078,2365,0.878646934460887,87.9
2020-11-02,0,19374,19374,1.0,100.0
2020-11-02,1,18253,19374,0.94213894910705,94.2
2020-11-02,2,17453,19374,0.900846495302983,90.1
2020-11-02,3,17092,19374,0.882213275523898,88.2
2020-11-02,4,16888,19374,0.87168369980386,87.2
2020-11-02,5,16694,19374,0.861670279756374,86.2
2020-11-02,6,16521,19374,0.852740786621245,85.3
2020-11-09,0,16232,16232,1.0,100.0
2020-11-09,1,15324,16232,0.944061113849186,94.4
2020-11-09,2,14571,16232,0.897671266633809,89.8
2020-11-09,3,14329,16232,0.882762444553967,88.3
2020-11-09,4,14165,16232,0.872658945293248,87.3
2020-11-09,5,13988,16232,0.861754558896007,86.2
2020-11-09,6,13894,16232,0.855963528831936,85.6
2020-11-16,0,18167,18167,1.0,100.0
2020-11-16,1,17146,18167,0.943799196345021,94.4
2020-11-16,2,16439,18167,0.904882479220564,90.5
2020-11-16,3,16125,18167,0.887598392690042,88.8
2020-11-16,4,15902,18167,0.875323388561677,87.5
2020-11-16,5,15744,18167,0.866626300434854,86.7
2020-11-16,6,15700,18167,0.864204326526118,86.4
2020-11-23,0,20072,20072,1.0,100.0
2020-11-23,1,19024,20072,0.947787963332004,94.8
2020-11-23,2,18303,20072,0.91186727779992,91.2
2020-11-23,3,17967,20072,0.895127540852929,89.5
2020-11-23,4,17767,20072,0.885163411717815,88.5
2020-11-23,5,17704,20072,0.882024711040255,88.2
2020-11-23,6,17696,20072,0.88162614587485,88.2
2020-11-30,0,22034,22034,1.0,100.0
2020-11-30,1,20906,22034,0.948806390124353,94.9
2020-11-30,2,20034,22034,0.909231188163746,90.9
2020-11-30,3,19711,22034,0.894572025052192,89.5
2020-11-30,4,19635,22034,0.891122810202414,89.1
2020-11-30,5,19597,22034,0.889398202777525,88.9
2020-11-30,6,19552,22034,0.887355904511209,88.7
2020-12-07,0,28545,28545,1.0,100.0
2020-12-07,1,27271,28545,0.955368716062357,95.5
2020-12-07,2,26503,28545,0.928463829041863,92.8
2020-12-07,3,26360,28545,0.923454195130495,92.3
2020-12-07,4,26315,28545,0.921877736906638,92.2
2020-12-07,5,26204,28545,0.917989139954457,91.8
2020-12-07,6,26146,28545,0.915957260465931,91.6
2020-12-14,0,24839,24839,1.0,100.0
2020-12-14,1,23819,24839,0.958935544909215,95.9
2020-12-14,2,23311,24839,0.938483835903216,93.8
2020-12-14,3,23261,24839,0.936470872418374,93.6
2020-12-14,4,23150,24839,0.932002093482024,93.2
2020-12-14,5,23074,24839,0.928942388985063,92.9
2020-12-14,6,23023,24839,0.926889166230524,92.7
2020-12-21,0,17430,17430,1.0,100.0
2020-12-21,1,16934,17430,0.971543316121629,97.2
2020-12-21,2,16649,17430,0.955192197360872,95.5
2020-12-21,3,16554,17430,0.949741824440619,95.0
2020-12-21,4,16477,17430,0.945324153757888,94.5
2020-12-21,5,16421,17430,0.942111302352266,94.2
2020-12-21,6,16376,17430,0.939529546758462,94.0
2020-12-28,0,16615,16615,1.0,100.0
2020-12-28,1,16118,16615,0.970087270538669,97.0
2020-12-28,2,15786,16615,0.950105326512187,95.0
2020-12-28,3,15672,16615,0.943244056575383,94.3
2020-12-28,4,15600,16615,0.938910622931086,93.9
2020-12-28,5,15540,16615,0.935299428227505,93.5
2021-01-04,0,22908,22908,1.0,100.0
2021-01-04,1,22026,22908,0.96149816657936,96.1
2021-01-04,2,21436,22908,0.93574297188755,93.6
2021-01-04,3,21223,22908,0.926444910075082,92.6
2021-01-04,4,21072,22908,0.919853326348873,92.0
2021-01-11,0,21433,21433,1.0,100.0
2021-01-11,1,20623,21433,0.962207810385853,96.2
2021-01-11,2,19982,21433,0.932300657864041,93.2
2021-01-11,3,19749,21433,0.921429571221947,92.1
2021-01-18,0,20698,20698,1.0,100.0
2021-01-18,1,19807,20698,0.956952362547106,95.7
2021-01-18,2,19039,20698,0.919847328244274,92.0
2021-01-25,0,19442,19442,1.0,100.0
2021-01-25,1,18441,19442,0.948513527414875,94.9
